ФОРМА;БЛОК;ЗНАЧЕНИЕ
Forms/ProfCard/pc_patients_import.frm;формы JS;System/say_hello.frm
Forms/ProfCard/pc_patients_import.frm;формы JS;UnitExportImport/Logs/import_error_log.frm
Forms/ProfCard/pc_patients_import.frm;Вьюхи;D_V_PROF_CARD_TYPES
Forms/ProfCard/pc_patients_import.frm;Вьюхи;D_V_CATALOGS
Forms/ProfCard/pc_patients_import.frm;Вьюхи;D_V_CONTRACTS
Forms/ProfCard/pc_patients_import.frm;Вьюхи;D_V_PAYMENT_KIND
Forms/ProfCard/pc_patients_import.frm;Вьюхи;D_V_PROF_CARD_MODELS
Forms/ProfCard/pc_patients_import.frm;Вьюхи;D_V_IMP_LOG
Forms/ProfCard/pc_patients_import.frm;Вьюхи;D_V_IMP_LOGS
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_PROF_CARD_TYPES
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_REGISTER_PURPOSES
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_CATALOGS
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_CONTRACTS
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_CONTRACT_TYPES
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_AGENTS
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_EMPLOYERS
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_FACIAL_ACCOUNTS
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_PAYMENT_KIND
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_JOBTITLES
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_VISITPURPOSES
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_SERVICES
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_PROF_CARD_MODELS
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_IMP_LOG
Forms/ProfCard/pc_patients_import.frm;Таблицы;D_IMP_LOGS
Forms/ProfCard/pc_patients_import.frm;Пакеты и функции;D_PKG_VERSIONS.GET_VERSION_BY_LPU
Forms/ProfCard/pc_patients_import.frm;Универсальные композиции;unit=""AGENTS"" composition=""JURISTIC""
Forms/ProfCard/pc_patients_import.frm;Универсальные композиции;unit=""PROF_CARD_MODELS"" composition=""GRID""
Forms/ProfCard/pc_patients_import.frm;Универсальные композиции;unit=""VISITPURPOSES"" composition=""DEFAULT""
Forms/ProfCard/pc_patients_import.frm;Универсальные композиции;"unit:CATALOGS  composition:DEFAULT,"
Forms/ProfCard/pc_patients_import.frm;Универсальные композиции;"unit:CONTRACTS  composition:GRID_CURRENT,"
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;формы JS;Contracts/contr_ami_directs/select_contract_by_type.frm
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Вьюхи;D_V_PERSMEDCARD_FIO
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Вьюхи;D_V_AGENT_POLIS_DMS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Вьюхи;D_V_CONTRACTS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Вьюхи;D_V_PERSMEDCARD_BASE
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Вьюхи;D_V_EMPLOYERS_FIO
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Вьюхи;D_V_CONTR_AMI_DIRECTS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_AGENTS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_PERSMEDCARD
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_EMPLOYERS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_CONTRACTS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_CONTRACT_TYPES
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_FACIAL_ACCOUNTS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_PAYMENT_KIND
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_AGENT_POLIS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Таблицы;D_CONTR_AMI_DIRECTS
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Пакеты и функции;D_PKG_AGENT_POLIS.GET_ACTUAL_ON_DATE
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Пакеты и функции;D_PKG_EMPLOYERS.GET_ID
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Пакеты и функции;D_PKG_STR_TOOLS.FIO
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Универсальные композиции;unit=""PERSMEDCARD"" composition=""PMC_FIO_AG""
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Универсальные композиции;unit=""AGENT_POLIS"" composition=""DMS""
Forms/Contracts/contr_ami_directs/contr_ami_directs_edit.frm;Неопределенные;D_NUMB
Forms/Contracts/patients_multi_sel.frm;Пакеты и функции;D_PKG_EMPLOYERS.GET_ID
